Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A black SUV is driving from the opposite direction (far) and switching lane.,5.335671,51.390234,3.5599999999999996,False,None,0
0,0_scenario_1,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,9.081159,34.242971,2.06,False,None,0
0,0_scenario_2,A red Jeep is overtaking (near) the ego vehicle and switching lane.,9.65685,31.305778,0.47999999999999987,False,None,0
0,0_scenario_3,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,4.221563,14.99422,3.8200000000000003,False,None,0
0,0_scenario_4,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,26.866295,8.341299,8.9,False,None,0
0,0_scenario_5,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,8.502945,4.957236,5.68,False,None,0
0,0_scenario_6,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,4.892611,12.578081,2.2199999999999998,False,None,0
0,0_scenario_7,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,2.783504,15.090351,2.06,False,None,0
0,0_scenario_8,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,2.239566,9.020431,6.52,False,None,0
0,0_scenario_9,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,4.246936,9.841983,6.84,False,None,0
0,0_scenario_10,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,7.901262,3.830537,1.08,False,None,0
0,0_scenario_11,A yellow Sedan is crossing the road (far) and switching lane.,11.018159,6.814491,0.98,False,None,0
0,0_scenario_12,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,9.314518,22.968939,5.64,False,None,0
1,1_scenario_0,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,100000,50.289233,1.9999999999999996,True,obstacle,1.3406466917404303
2,2_scenario_0,A yellow SUV is driving from the opposite direction (near) and switching lane.,100000,25.204523,1.9999999999999996,True,obstacle,0.21774174070572852
3,3_scenario_0,A yellow Sedan is crossing the road (far) and switching lane.,100000,27.160148,1.9,True,obstacle,0.34492002402763045
4,4_scenario_0,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,100000,100000,3.2800000000000002,False,None,0
4,4_scenario_1,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,0.43111,4.513235,7.4,True,npc_vehicle,0.0006563637939783081
5,5_scenario_0,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,100000,100000,2.7800000000000002,False,None,0
5,5_scenario_1,A pink Hatchback is crossing the road (far) and maintaining lane.,0.930377,13.172041,4.999999999999999,False,None,0
5,5_scenario_2,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,1.391466,7.585376,0.66,False,None,0
5,5_scenario_3,A pink Sedan is driving from the opposite direction (far) and switching lane.,1.876149,8.271164,10.22,False,None,0
5,5_scenario_4,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,30.941676,13.180018,3.3,False,None,0
5,5_scenario_5,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,10.669653,16.806478,9.239999999999998,False,None,0
