Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A red Hatchback is driving from the opposite direction (near) and switching lane.,100000,12.567068,4.44,False,None,0
0,0_scenario_1,A pedestrian is crossing the road from right to left.,100000,4.118806,5.88,False,None,0
0,0_scenario_2_pedestrian,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,5.308742,2.399844,7.460000000000001,True,pedestrian,1.8733714605709817
1,1_scenario_0,A yellow SUV is overtaking (near) the ego vehicle and switching lane.,100000,8.145593,3.58,False,None,0
1,1_scenario_1,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,0.403553,3.413931,9.98,False,None,0
1,1_scenario_2,A pedestrian is crossing the road from left to right.,100000,11.560778,4.4399999999999995,False,None,0
1,1_scenario_3,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,1.519612,2.832242,4.26,False,None,0
1,1_scenario_4,A yellow Sedan is overtaking (near) the ego vehicle and switching lane.,100000,14.696105,1.82,False,None,0
1,1_scenario_5,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,100000,5.143383,4.26,False,None,0
1,1_scenario_6,A red Jeep is overtaking (near) the ego vehicle and switching lane.,100000,8.067836,6.88,False,None,0
1,1_scenario_7,A yellow SUV is overtaking (far) the ego vehicle and switching lane.,100000,20.687218,6.16,False,None,0
1,1_scenario_8,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,100000,36.741189,6.9,False,None,0
1,1_scenario_9,A pedestrian is crossing the road from left to right.,100000,9.266473,6.7,False,None,0
1,1_scenario_10,A pedestrian is crossing the road from left to right.,100000,10.993809,6.7,False,None,0
1,1_scenario_11,A pedestrian is crossing the road from left to right.,100000,13.707575,6.68,False,None,0
1,1_scenario_12,A pedestrian is crossing the road from left to right.,100000,16.596893,6.68,False,None,0
1,1_scenario_13,A pedestrian is crossing the road from left to right.,7.587146,6.456944,6.26,False,None,0
1,1_scenario_14,A pink SUV is crossing the road (far) and switching lane.,2.747786,6.441179,5.800000000000001,False,None,0
1,1_scenario_15,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,3.502727,6.981955,1.2999999999999998,False,None,0
1,1_scenario_16,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,100000,10.730899,6.699999999999999,False,None,0
1,1_scenario_17,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,8.477534,15.856147,6.72,False,None,0
1,1_scenario_18,A pink SchoolBus is driving from the opposite direction (far) and maintaining lane.,100000,16.828611,6.5600000000000005,False,None,0
1,1_scenario_19,A pink Jeep is crossing the road (near) and switching lane.,100000,6.129172,6.8,False,None,0
1,1_scenario_20,A yellow Sedan is crossing the road (far) and switching lane.,100000,40.39621,6.82,False,None,0
1,1_scenario_21,A yellow SchoolBus is driving from the opposite direction (near) and switching lane.,100000,20.719843,4.76,False,None,0
2,2_scenario_0,A pedestrian is crossing the road from left to right.,100000,18.362441,4.56,False,None,0
2,2_scenario_1,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,100000,2.461458,3.32,False,None,0
2,2_scenario_2,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,0.518542,8.113948,6.94,False,None,0
2,2_scenario_3,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,3.004133,11.954852,6.640000000000001,False,None,0
2,2_scenario_4,A yellow Hatchback is overtaking (far) the ego vehicle and switching lane.,0.217239,1.232289,6.960000000000001,False,None,0
2,2_scenario_5,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,0.208784,3.780323,4.7,False,None,0
2,2_scenario_6,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,1.75279,19.351397,6.119999999999999,False,None,0
